id,title,min_years,num_must_have,num_nice_to_have,must_have_skills,location
job_1,Associate Software Engineer,2,5,3,"Proficiency in at least one programming language (e.g., Java, Python, C++), Understanding of software development lifecycle, Knowledge of data structures and algorithms, Experience with version control systems (e.g., Git), Strong problem-solving skills",Hybrid
job_2,Software Engineer - Mid-Level,5,5,3,"Proficiency in programming languages such as Java, Python, or C++, Experience with software development methodologies like Agile or Scrum, Strong understanding of data structures and algorithms, Knowledge of relational and non-relational databases, Excellent problem-solving skills",Hybrid
job_3,Junior Software Engineer - Entry-Level,0,5,3,"Proficiency in at least one programming language (e.g., Java, Python, C++), Understanding of software development principles and best practices, Basic knowledge of data structures and algorithms, Ability to work well in a team environment, Strong problem-solving skills",Remote
job_4,Principal Software Engineer - Backend,7,8,5,"Proficiency in Java or Python, Experience with microservices architecture, Strong understanding of database design and optimization, Hands-on experience with cloud technologies (e.g., AWS, Azure), Solid knowledge of software development best practices, Excellent problem-solving and analytical skills, Ability to lead and mentor junior engineers, Strong communication and collaboration skills",Remote
job_5,Lead Software Engineer - Cloud Services,7,8,6,"Proficiency in cloud technologies (AWS, Azure, or GCP), Expertise in backend development with languages such as Java, Python, or Node.js, Strong understanding of microservices architecture and containerization (Docker, Kubernetes), Experience with relational and NoSQL databases (e.g., MySQL, MongoDB), Ability to lead projects from design to deployment, Excellent problem-solving and analytical skills, Effective communication and teamwork abilities, Bachelor's degree in Computer Science or related field",Hybrid
job_6,Junior Full Stack Developer - Entry-Level,0,5,3,"HTML5, CSS3, JavaScript, Node.js, React.js",Remote
job_7,Lead Full Stack Developer,8,8,4,"JavaScript, Node.js, React, MongoDB, RESTful APIs, Git, Agile methodology, CI/CD",Hybrid
job_8,Junior Full Stack Developer,1,8,5,"JavaScript, HTML/CSS, React, Node.js, RESTful APIs, Git, SQL, Problem-solving skills",Remote
job_9,Senior Full Stack Developer - Mid-Level,3,8,5,"JavaScript, Node.js, React, MongoDB, RESTful APIs, HTML/CSS, Git, Agile methodology",Remote
job_10,Junior Backend Developer - Python,2,6,5,"Python, RESTful APIs, SQL databases, Git, Basic understanding of frontend technologies (HTML, CSS, JavaScript), Problem-solving skills",Remote
job_11,Associate Backend Developer - Junior,1,5,3,"Proficiency in at least one backend programming language (e.g., Python, Java, Node.js), Experience with RESTful APIs and Microservices architecture, Understanding of database management systems (e.g., MySQL, PostgreSQL), Familiarity with version control systems (e.g., Git), Basic knowledge of cloud services (e.g., AWS, Azure)",Hybrid
job_12,Senior Backend Developer - Tech Innovators Inc.,8,5,4,"Strong proficiency in backend development, Experience with cloud services (e.g., AWS, GCP), Proficiency in at least one backend language (e.g., Python, Node.js), Solid understanding of database management (SQL, NoSQL), Experience with RESTful APIs and microservices architecture",Remote
job_13,Senior Frontend Developer - TechSolutions Inc.,6,8,6,"JavaScript, React.js, HTML5, CSS3, RESTful APIs, Git, Responsive design, Agile methodology",Hybrid
job_14,Junior Frontend Developer - WebWorks Inc.,1,5,3,"HTML5, CSS3, JavaScript, React.js, Responsive Design",Hybrid
job_15,Frontend Developer - Mid-Level,3,8,4,"JavaScript, HTML, CSS, React, Responsive Design, RESTful APIs, Git, Agile Methodologies",Remote
job_16,Junior Data Scientist - Analytics,0,5,3,"Python programming, Statistical analysis, Machine learning, SQL database, Data visualization",Remote
job_17,Lead Data Scientist - Advanced Analytics,6,5,3,"Python, Machine Learning, Statistical Modeling, Data Visualization, SQL",Hybrid
job_18,Lead Data Scientist at InnovateX Technologies,7,5,3,"Python, Machine Learning, Statistical Analysis, Data Visualization, Big Data Technologies",Hybrid
job_19,DevOps Engineer - Mid-Level,4,8,5,"Experience with cloud platforms (e.g., AWS, Azure, GCP), Proficiency in CI/CD tools (e.g., Jenkins, GitLab CI), Strong scripting skills (e.g., Python, Bash), Hands-on experience with containerization technologies (e.g., Docker, Kubernetes), Knowledge of infrastructure as code tools (e.g., Terraform, CloudFormation), Ability to troubleshoot complex issues and optimize system performance, Familiarity with monitoring and logging tools (e.g., Prometheus, ELK stack), Excellent communication and teamwork skills",Remote
job_20,Senior DevOps Engineer - CloudOps Solutions,5,8,6,"Experience with cloud platforms (e.g., AWS, Azure, GCP), Proficiency in containerization and orchestration tools (e.g., Docker, Kubernetes), Strong scripting skills (e.g., Python, Bash), Knowledge of infrastructure as code (e.g., Terraform, CloudFormation), Experience with CI/CD pipelines and automation tools (e.g., Jenkins, GitLab CI), Solid understanding of networking and security principles, Ability to troubleshoot complex issues and optimize system performance, Excellent communication and teamwork skills",Remote
job_21,Senior Mobile Developer - Mid-Level,5,5,3,"Proficiency in iOS and Android development, Experience with mobile frameworks such as React Native or Flutter, Strong knowledge of mobile UI design principles, Familiarity with RESTful APIs, Ability to optimize mobile applications for performance",Remote
job_22,Senior Mobile Developer - iOS/Android,5,8,5,"Proficiency in iOS and Android development, Experience with Swift, Kotlin, and Java programming languages, Strong understanding of mobile UI/UX principles, Knowledge of mobile app architecture and design patterns, Experience with RESTful APIs and third-party libraries, Ability to troubleshoot and debug mobile applications, Excellent problem-solving and communication skills, Bachelor’s degree in Computer Science or related field",Hybrid
job_23,Quality Assurance Engineer - Mid-Level,5,5,3,"Experience in manual and automated testing, Proficiency in test management tools (e.g., Jira, TestRail), Strong understanding of SDLC and QA methodologies, Ability to write clear and concise test documentation, Excellent problem-solving and analytical skills",Hybrid
job_24,Junior QA Engineer - Software Solutions Inc.,2,5,3,"Knowledge of software testing principles and methodologies, Experience with test case design and execution, Familiarity with testing tools such as Selenium or JUnit, Ability to work in a collaborative team environment, Strong analytical and problem-solving skills",Hybrid
job_25,Senior Data Engineer - Analytics Solutions,5,5,4,"Proficiency in SQL, Python, and ETL tools (e.g., Apache Spark), Experience with cloud platforms (e.g., AWS, GCP), Strong understanding of data modeling and database concepts, Ability to optimize and troubleshoot complex data pipelines, Excellent communication and teamwork skills",Hybrid
